time,open,high,low,close
2025-11-12T14:45:00+09:00,103500,103560,103430,103520
2025-11-12T15:00:00+09:00,103510,103720,103510,103680
2025-11-12T15:15:00+09:00,103640,103770,103630,103670
2025-11-12T15:30:00+09:00,103660,103660,103560,103570
2025-11-12T15:45:00+09:00,103560,103580,103490,103490
2025-11-12T16:00:00+09:00,103490,103610,103480,103610
2025-11-12T16:15:00+09:00,103630,103630,103580,103580
2025-11-12T16:30:00+09:00,103570,103610,103490,103560
2025-11-12T16:45:00+09:00,103520,103520,103160,103190
2025-11-12T17:00:00+09:00,103200,103380,103200,103340
2025-11-12T17:15:00+09:00,103380,103960,103380,103860
2025-11-12T17:30:00+09:00,103950,104280,103860,104090
2025-11-12T17:45:00+09:00,104090,104230,104090,104220
2025-11-12T18:00:00+09:00,104210,104930,104210,104830
2025-11-12T18:15:00+09:00,104840,105070,104770,104820
2025-11-12T18:30:00+09:00,104780,104860,104500,104650
2025-11-12T18:45:00+09:00,104640,104640,104510,104530
2025-11-12T19:00:00+09:00,104560,104830,104560,104830
2025-11-12T19:15:00+09:00,104800,104860,104750,104760
2025-11-12T19:30:00+09:00,104810,105040,104760,104890
2025-11-12T19:45:00+09:00,104880,104970,104880,104920
2025-11-12T20:00:00+09:00,104970,105220,104970,105120
2025-11-12T20:15:00+09:00,105120,105190,104870,104870
2025-11-12T20:30:00+09:00,104880,104970,104840,104840
2025-11-12T20:45:00+09:00,104840,105050,104840,105050
2025-11-12T21:00:00+09:00,105060,105210,104920,105190
2025-11-12T21:15:00+09:00,105190,105370,105040,105040
2025-11-12T21:30:00+09:00,105030,105080,104870,104920
2025-11-12T21:45:00+09:00,104950,105080,104950,105040
2025-11-12T22:00:00+09:00,105040,105060,104710,104910
2025-11-12T22:15:00+09:00,104910,104980,104690,104980
2025-11-12T22:30:00+09:00,104980,105120,104870,105040
2025-11-12T22:45:00+09:00,105060,105150,104970,105000
2025-11-12T23:00:00+09:00,104980,105000,104750,104910
2025-11-12T23:15:00+09:00,104910,104940,104750,104760
2025-11-12T23:30:00+09:00,104780,104870,104510,104670
2025-11-12T23:45:00+09:00,104670,104800,103590,103970
2025-11-13T00:00:00+09:00,103980,104270,103760,103760
2025-11-13T00:15:00+09:00,103760,103880,103290,103470
2025-11-13T00:30:00+09:00,103440,103690,102710,102800
2025-11-13T00:45:00+09:00,102840,102850,102030,102250
2025-11-13T01:00:00+09:00,102230,102440,101500,101580
2025-11-13T01:15:00+09:00,101580,101960,101580,101890
2025-11-13T01:30:00+09:00,101880,102140,101730,101730
2025-11-13T01:45:00+09:00,101740,101840,101490,101500
2025-11-13T02:00:00+09:00,101490,101840,101490,101580
2025-11-13T02:15:00+09:00,101670,101690,101500,101640
2025-11-13T02:30:00+09:00,101650,102200,101630,101870
2025-11-13T02:45:00+09:00,101880,101880,101630,101810
2025-11-13T03:00:00+09:00,101850,101960,101670,101720
2025-11-13T03:15:00+09:00,101720,101870,101680,101700
2025-11-13T03:30:00+09:00,101690,101880,101580,101580
2025-11-13T03:45:00+09:00,101570,101620,101500,101620
2025-11-13T04:00:00+09:00,101610,101610,101160,101180
2025-11-13T04:15:00+09:00,101190,101410,100870,101040
2025-11-13T04:30:00+09:00,101120,101500,100930,101380
2025-11-13T04:45:00+09:00,101420,101420,101250,101320
2025-11-13T05:00:00+09:00,101320,101500,101180,101420
2025-11-13T05:15:00+09:00,101420,101770,101420,101720
2025-11-13T05:30:00+09:00,101720,101820,101650,101690
2025-11-13T05:45:00+09:00,101700,101720,101510,101560
2025-11-13T06:00:00+09:00,101540,101890,101530,101890
2025-11-13T06:15:00+09:00,101860,101860,101720,101750
2025-11-13T06:30:00+09:00,101750,101880,101750,101830
2025-11-13T06:45:00+09:00,101820,101930,101760,101930
2025-11-13T07:00:00+09:00,101900,101900,101460,101460
2025-11-13T07:15:00+09:00,101470,101760,101470,101710
2025-11-13T07:30:00+09:00,101760,101870,101660,101870
2025-11-13T07:45:00+09:00,101870,102010,101850,102010
2025-11-13T08:00:00+09:00,102000,102010,101690,101850
2025-11-13T08:15:00+09:00,101850,102030,101850,101970
2025-11-13T08:30:00+09:00,101970,102000,101640,101650
2025-11-13T08:45:00+09:00,101650,101750,101550,101740
2025-11-13T09:00:00+09:00,101720,101870,101700,101800
2025-11-13T09:15:00+09:00,101800,101910,101570,101580
2025-11-13T09:30:00+09:00,101620,102130,101620,101910
2025-11-13T09:45:00+09:00,101940,102050,101900,101930
2025-11-13T10:00:00+09:00,101950,102700,101950,102490
2025-11-13T10:15:00+09:00,102490,102510,102000,102080
2025-11-13T10:30:00+09:00,102110,102540,102080,102540
2025-11-13T10:45:00+09:00,102520,102520,102100,102130
2025-11-13T11:00:00+09:00,102130,102320,102090,102300
2025-11-13T11:15:00+09:00,102300,102450,102130,102130
2025-11-13T11:30:00+09:00,102150,102460,102140,102280
2025-11-13T11:45:00+09:00,102280,102280,102180,102190
2025-11-13T12:00:00+09:00,102190,102220,101500,101500
2025-11-13T12:15:00+09:00,101500,102260,101030,102190
2025-11-13T12:30:00+09:00,102210,102630,102210,102610
2025-11-13T12:45:00+09:00,102580,102680,102280,102280
2025-11-13T13:00:00+09:00,102280,102320,101800,102150
2025-11-13T13:15:00+09:00,102140,102500,101990,102300
2025-11-13T13:30:00+09:00,102300,102340,102070,102140
2025-11-13T13:45:00+09:00,102120,102350,101970,102280
2025-11-13T14:00:00+09:00,102240,102240,101950,102030
2025-11-13T14:15:00+09:00,102030,102400,102030,102400
2025-11-13T14:30:00+09:00,102380,102690,102380,102690
2025-11-13T14:45:00+09:00,102670,103430,102670,103230
2025-11-13T15:00:00+09:00,103300,103460,103040,103280
2025-11-13T15:15:00+09:00,103310,103660,103310,103630
2025-11-13T15:30:00+09:00,103650,103670,103430,103530
2025-11-13T15:45:00+09:00,103540,103720,103520,103660
2025-11-13T16:00:00+09:00,103680,103860,103660,103850
2025-11-13T16:15:00+09:00,103850,104000,103810,104000
2025-11-13T16:30:00+09:00,103960,104000,103570,103570
2025-11-13T16:45:00+09:00,103590,103590,103340,103490
2025-11-13T17:00:00+09:00,103490,103620,103340,103500
2025-11-13T17:15:00+09:00,103500,103750,103440,103750
2025-11-13T17:30:00+09:00,103650,103780,103650,103780
2025-11-13T17:45:00+09:00,103770,103790,103610,103720
